"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Barbados","BRB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","4400000.095","4607883.93","5100764.275","6380088.329","8133522.987","9213089.943","9649999.619","10000000","11699999.81","14199999.81","9100000.381","11050000.19","9050000.191","8449999.809","10399999.62","8149999.619","10800000.19","28200000.76","31950000.76","32000000","37900001.53","45150001.53","54500000","55349998.47","57200000.76","60900000","68000000","77000000","86750000","98700000","113200000","129950000","125061000","130500000","130508571.515","94455423.8","87348422.95","138674184.035","101160650.815","114476089.54","81868796.19","147293266.1916","152319842.442333","190981632.979834","188716960.993834","198038294.834484","157509039.9835","85175892.5","85175892.5","85175892.5","85175892.5","85175892.5","85175892.5","",
"Brunei Darussalam","BRN","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","869996.045371234","892985.401225192","870223.31019784","",
"Bhutan","BTN","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2238933.57293969","2933039.37670196","3548930.80484922","4866701.16845046","8273480.86460516","10460534.0047244","18144730.4308342","11804283.7060374","14292342.8904863","19656507.9192159","34343456.661168","43153828.4255767","58148515.7992805","56658762.9385091","83435182.5866655","73367268.394708","95956453.625231","",
"Botswana","BWA","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","43136806.49","61410015.11","68886909.48","57477024.08","58281730.65","77326385.5","74575286.87","56426345.83","55883449.55","49985622.41","31273542.4","37250999.45","54319961.55","54687019.35","49382450.1","85569969.18","83500007.63","93993293.76","74285774.23","69878875.73","55334979.8355581","43258571.7451534","40925961.6025508","36255880.4320047","26360203.531478","18540860.9679144","17907642.6621621","19073417.4869225","27309329.1576155","78656415.9593629","117744505.789808","103859006.637737","92191518.1508924","46823196.3350129","15209029.1859779","22321278.9239338","20409878.2888146","18103143.9242752","36004335.9432826","46123119.0839999","30045619.5721967","24622501.6835181","38956561.4682334","44309897.4026306","59360104.1407768","44222901.8878611","60583609.6740258","68480585.3920941","",
"Central African Republic","CAF","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","1965974.45","988230.4668","","37864.5249","11040.3122","36517.8697","20993.7375","21151.9469","21310.1581","21468.3693","21626.5805","21784.7917","21943.0029","80803.6923","141790.2112","150354.7579","158919.3046","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Canada","CAN","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","486450124.196581","557614596.99196","492323809.928894","495453434.25793","657130051.118597","554559608.300993","611188719.329728","635318060.390276","672291476.854856","827662792.757915","933656853.336043","1085691997.21255","1177479621.67601","1299412196.87697","1196444724.41024","1199157750.27888","1227344978.04621","1254600489.98476","1336538605.70778","1351304689.29191","1274255368.12748","1289324860.09108","1268185480.31644","1295567216.75409","1311782569.26068","821832443.665485","831502696.662449","863836976.43937","",
"Central Europe and the Baltics","CEB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38299999.24","498856128.0134","1457057400.0255","1904337619.11491","2090986524.26941","2091623416.66295","2611753537.88996","2281903309.12276","3650744137.52754","4638350241.20974","5352262289.76775","7388254571.50798","11914402662.6632","16645124627.8932","20317459523.0222","24671264338.7019","27226613973.8605","22540637222.109","20095292444.9499","22032681348.125","21507437878.903","29210920497.0292","30820427189.123","28730813853.3348","30452200721.2363","33178290188.3734","35398224928.2483","36762857649.4819","34305681764.3538","37420970720.9042","36293320381.4641","",
"Switzerland","CHE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","405654205.3","536905273.4","592401001","608697814.9","442919036.9","527022216.8","551177673.3","495811492.9","498550140.4","651503234.9","779242553.7","826214721.7","755107971.2","923652832","987244201.7","1044645752","1052437988","1212114624","1473188518.65763","1390360919.41004","1208285603.54852","1226985564.1241","1221534901.44819","994933149.51959","1176038086.22683","1225420692.98309","1533293465.90357","1695345813.35115","1721477365.19693","1795179912.44818","1795617229.75524","2214728945.76683","2341619108.8295","2494622576.5954","2615246749.25133","2420420106.33255","2437063151.98786","2406168040.98435","2516975788.92797","2524093962.73986","2591809297.96896","2550734394.8547","2549309963.18163","2824692041.18766","3142088776.69368","3073729584.88224","",
"Channel Islands","CHI","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","1000000","400000.006","500000","100000.0015","1299999.952","400000.006","","","","","","","","","","13300000","11900000","12400000","11800000","11600000","0","0","0","0","51938053.6776965","62324923.1059028","70917381.8950211","72030040.7443826","71108144.9065198","60612706.416405","58992215.8381229","64551112.6635094","66541753.587694","69856849.7873431","69372771.3618018","66197477.5911306","66484972.9580665","69392670.4342172","",
"China","CHN","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","617320000","542000000","403000000","271000000","445280000","228040000","326340000","188860000","195940000","389820000","619380000","631380000","857000000","350000000","1672000000","4589000000","344000000","530000000","758082000","1209000000","2353070421.5742","4625331810","6641220178.7534","3337061829.2962","4319492608.79338","6833129702.14478","9136546899.82745","9209489821","13636040942","16568371453","17065623287","17790105219","29910500593.04","33104675861.87","26883278893.8","28675983092.3","24305605210.61","18294313104.25","18876250770.21","22479899032.72","26105771684","",
"Cote d'Ivoire","CIV","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","12131793.98","14228888.51","15874328.61","22157634.74","28205875.4","32184844.97","30912874.22","28909978.87","27029436.11","24945264.82","24039373.4","35806491.85","42923229.22","42639167.79","35422275.54","44442031.86","41473640.44","49518871.31","57564102.17","110409729","151057266.2","147003509.5","136378585.8","142567581.2","137560699.5","119317176.8","116004821.8","120092422.5","141603500.4","159198211.7","163238757.499224","166909883.13886","184936824.513276","199721402.156654","316346324.011049","373841959.225322","397123339.074986","367086167.01074","384778636.222717","387214302.313813","336382061.922343","342435061.096104","307645127.912134","332046729.961811","328290412.149646","329147636.244163","440194174.696337","1041929443.64097","",
"Cameroon","CMR","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","3478724.48","29392337.8","28704811.1","19019723.89","28000396.73","14829845.43","12220014.57","23736240.39","12777147.29","12321712.49","32569686.89","22992322.92","7337643.623","25010219.57","20341670.99","11401200.29","11239141.9243085","13409964.6371449","13564186.1214648","22612526.2692594","15404277.0364073","22100034.1796201","16831585.0818213","29456452.6251852","75414618.5995415","103389306.370281","77019167.2179993","130058704.554612","167560280.239556","162670388.475588","185112093.172528","114971017.942742","219542284.801707","210407729.586195","244128551.991109","283337565.91589","241706990.04708","268951584.734338","316800671.404731","333554498.390558","355550645.811703","334097288.504642","430097112.097775","562660764.308562","",
"Congo, Dem. Rep.","COD","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8900000","12800000","8800000","14700000","19500000","15700000","1127500000","855853174.59244","1001358241.28659","756410387.642135","1166568218.32676","593480274.784826","1076294914.6231","1822706175.76018","2076317927.82742","1196048014.07299","1347879531.24334","1347879531.24334","",
"Congo, Rep.","COG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","2499381.065","3088543.177","3175887.108","2653791.666","2131696.224","1609600.663","1087505.221","565409.7795","43314.3079","9982.1463","4431787.491","4404277.802","4376768.112","4349258.423","4321748.734","4294239.521","4266729.832","4239220.01993526","7819335.34724702","4574507.63474941","1937446.49863673","11666412.4196063","10352873.0727615","12119417.8945795","1176490.49976873","12388155.7326253","14954054.8220439","11379620.3626781","13207621.661714","16687081.7739817","21717486.771713","34089356.1430094","33137005.1187299","62226176.1618155","68345052.9781772","72057151.4560363","41593306.5848079","29796433.4266576","7710018.0691236","0","0","26242892.954918","12632343.286696","43959696.1855082","2944824.90317009","",
